order_number,product_name,variant_name,quantity,unit_price,subtotal
ORD-240101-00032,KD S4S Wood PL,2x4 per Board Foot,10,72.00,720.00
ORD-240101-00032,Deformed Bar G40,16mm x 6m,3,293.00,879.00
ORD-240101-00032,Metal Furring,19 x 50 (10ft),12,71.00,852.00
ORD-240101-00032,Neltex Electrical Pipe Thinwall,"3/4"" Per Piece",10,48.00,480.00
ORD-240102-52458,C-Purlins GI,"2"" x 4"" x 6m (1.5mm)",1,650.00,650.00
ORD-240102-52458,Lucky PPR Elbow Female 1/2,,9,29.00,261.00
ORD-240102-52458,Flat Bar,"2"" x 3mm (20ft)",3,330.00,990.00
ORD-240103-73541,Tubular Bar GI,"1"" x 1"" (20ft) 1.2mm",3,320.00,960.00
ORD-240103-73541,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",9,32.00,288.00
ORD-240103-73541,Coco Lumber,2x2x8 (Per Piece),1,48.00,48.00
ORD-240104-26330,Common Wire Nail,"2"" (Per Kilo)",4,60.00,240.00
ORD-240104-26330,Phenolic Board 18mm,,3,780.00,2340.00
ORD-240104-26330,Tox,#8 Tox (Per Box),8,48.00,384.00
ORD-240104-26330,Angle Bar,"2"" x 2"" x 3mm (20ft)",1,1100.00,1100.00
ORD-240105-37622,Longspan RIB22,10ft (0.5mm),2,602.00,1204.00
ORD-240105-37622,Lucky PPR Elbow Female 1/2,,4,29.00,116.00
ORD-240105-37622,Boysen Lacquer Thinner B50,1 Liter,1,248.00,248.00
ORD-240105-37622,"Hardiflex Screw 1""",,55,2.50,137.50
ORD-240105-19628,Novtek Concrete Sealer 4 Liters,,1,480.00,480.00
ORD-240105-97586,Boysen Permacoat Flat Latex White,16 Liters (1 Pail),1,2850.00,2850.00
ORD-240105-97586,Phenolic Board 18mm,,3,780.00,2340.00
ORD-240106-51231,Tekscrew,"2.5"" (Per Piece)",69,3.50,241.50
ORD-240106-51231,Boysen Lacquer Thinner B50,4 Liters,2,875.00,1750.00
ORD-240106-51231,Neltex Electrical Pipe Thinwall,"3/4"" Per Piece",1,48.00,48.00
ORD-240106-51231,Wood Screw Flat Head,"1"" (Per Kilo)",4,180.00,720.00
ORD-240106-53044,Royu THHN Wire 8.0mm,Red (Per Box 75m),1,5200.00,5200.00
ORD-240106-53044,Boysen Lacquer Thinner B50,4 Liters,2,875.00,1750.00
ORD-240106-53044,Angle Bar,"1"" x 1"" x 2mm (20ft)",2,360.00,720.00
ORD-240107-25709,"Neltex Electrical Pipe Thickwall 1/2""",,11,65.00,715.00
ORD-240107-25709,Tekscrew,"3"" (Per Piece)",58,4.00,232.00
ORD-240108-10708,Tekscrew,"2.5"" (Per Piece)",24,3.50,84.00
ORD-240108-81547,Longspan RIB22,10ft (0.5mm),2,602.00,1204.00
ORD-240108-81547,Tekscrew,"1"" (Per Piece)",85,2.00,170.00
