[Company Logo]		Wena's Online Ordering Platform Test Script								
Project Name		Wena's Online Ordering Platform								
Project Manager		Muros, Adrian A.								
Business Analyst										
Testing Start Date										
Testing End Date										
Name of Tester:		Karl Evlan Robasto, Marc Niel Bides, Darelle Yuri, Soriano								
Phase / Release Number: 		Version 1.0								
ID#	Description	Preconditions / Data	Steps To Execute	Expected Behavior	Actual Behavior	Passed	Failed	Retest Date	Defect/Comments	
"CUSTOMER PORTAL								"										
1	Home Page – Load	User has access to the app URL.	"1) Open browser.
2) Go to http://localhost:5173.
3) Wait for page to load."	Home page loads with store name, featured products, categories, and navigation bar.						
2	Browse by Category	User is on the home page. Categories exist.	"1) Click on a category (e.g., 'Tools').
2) Observe products."	Products page shows only products from the selected category.						
3	View All Products	Products exist in the database.	"1) Click 'Products' in the nav bar.
2) Observe product listing."	Products displayed in a paginated grid with name, price, and image.						
4	Search Products	User is on Products page.	"1) Type 'Hammer' in the search bar.
2) Observe results."	Only products matching 'Hammer' are shown.						
5	Filter by Category	User is on the Products page.	"1) Select a category filter (e.g., 'Electrical').
2) Observe results."	Only products in the selected category are shown.						
6	Product Detail Page	User is on the Products page.	"1) Click on a product card.
2) Observe the detail page."	Detail page shows name, description, price, SKU, stock, images, variants, and bulk pricing.						
7	Select Product Variant	Product with variants exists (e.g., sizes).	"1) Go to a product with variants.
2) Select a variant (e.g., 'Large')."	Price and stock update to reflect the selected variant.						
8	View Bulk Pricing	Product with bulk pricing tiers exists.	"1) Go to product detail.
2) View bulk pricing section."	Pricing tiers shown (e.g., '10+ units: ₱300 each').						
"SHOPPING CART								"										
9	Add to Cart	User is on a product detail page.	"1) Set quantity to 2.
2) Click 'Add to Cart'."	Success notification shown. Cart icon updates with item count.						
10	View Cart	User has items in the cart.	1) Click the cart icon in the nav bar.	Cart page shows items with name, price, quantity, and total.						
11	Update Cart Quantity	User is on the Cart page with at least one item.	"1) Change quantity from 2 to 5.
2) Observe totals."	Subtotal and order total recalculate.						
12	Remove Cart Item	User has items in the cart.	"1) Click 'Remove' on an item.
2) Confirm if prompted."	Item removed. Total recalculates. Empty cart message if no items left.						
13	Empty Cart – No Checkout	Cart is empty.	"1) Go to Cart page.
2) Try to proceed to checkout."	Checkout button is disabled or shows 'cart is empty' message.						
"CHECKOUT & ORDERS								"										
14	Place Order (Guest)	Cart has items. User is NOT logged in.	"1) Click 'Proceed to Checkout'.
2) Fill: Name, Phone (09171234567), Address, Barangay.
3) Click 'Place Order'."	Order placed. Redirected to confirmation page with order number.						
15	Checkout – Phone Validation	User is on checkout page.	"1) Enter invalid phone (e.g., '12345').
2) Click 'Place Order'."	Validation error shown. Order NOT placed.						
16	Checkout – Required Fields	User is on checkout page.	"1) Leave Name and Address blank.
2) Click 'Place Order'."	Validation errors for all required fields. Order NOT placed.						
17	Order with Variant	Product with variants exists.	"1) Select variant 'Red – 1 Liter'.
2) Add to cart, checkout, place order."	Order shows correct variant name and variant-specific price.						
18	Order with Bulk Pricing	Product has bulk pricing: 10+ = ₱300 each (normal ₱350).	"1) Add 15 units to cart.
2) Checkout and place order."	Bulk price ₱300 applied. Total = ₱4,500.						
19	Order with Multiple Items	Multiple products exist.	"1) Add Product A (qty 2), Product B (qty 1), Product C (qty 5).
2) Checkout and place order."	Order contains all 3 items with correct quantities and totals.						
